FoodCode	Main.food.description	X2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode	Old.Main.food.description	FoodID
27320027	_Ham_or_pork_noodles_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_sauce_	Yes	No	0	"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"	27320027.0
27320030	_Ham_or_pork_noodles_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_cheese_sauce_	Yes	No	0	"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"	27320030.0
27320040	_Pork_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_sauce_	Yes	No	0	"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"	27320040.0
27320070	_Ham_or_pork_noodles_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27320070.0
27320080	_Sausage_noodles_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"	27320080.0
27320090	_Sausage_noodles_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27320090.0
27320100	_Pork_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27320100.0
27320110	_Pork_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"	27320110.0
27320120	_Sausage_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"	27320120.0
27320130	_Sausage_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27320130.0
27320140	_Pork_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"	27320140.0
27320150	_Pork_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27320150.0
27320210	_Pork_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_	Yes	No	0	"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"	27320210.0
