FoodCode	Main.food.description	X2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode	Old.Main.food.description	FoodID
75226040	Peppers_red_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Peppers_red_cooked_NS_as_to_fat_added_in_cooking	75226040.0
75226090	Peppers_hot_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	No	Yes	0	Peppers_hot_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	75226090.0
75226700	Pimiento	Yes	No	0	Pimiento	75226700.0
75236000	Yeast	Yes	No	0	Yeast	75236000.0
75503040	Pickles_sweet	Yes	No	0	Pickles, sweet	75503040.0
75503085	Ginger_root_pickled	Yes	No	0	Ginger root, pickled	75503085.0
75506010	Mustard	Yes	No	0	Mustard	75506010.0
75510000	Olives_NFS	Yes	No	0	Olives, NFS	75510000.0
75510010	Olives_green	Yes	No	0	Olives, green	75510010.0
75511010	Hot_pepper_sauce	Yes	No	0	Hot pepper sauce	75511010.0
75607000	Mushroom_soup_NFS	Yes	No	0	Mushroom soup, NFS	75607000.0
75607020	Mushroom_soup_cream_of_prepared_with_water	Yes	No	0	Mushroom soup, cream of, prepared with water	75607020.0
75649050	Vegetable_soup_made_from_dry_mix	Yes	No	0	Vegetable soup, made from dry mix	75649050.0
75649110	Vegetable_soup_home_recipe	Yes	No	0	Vegetable soup, home recipe	75649110.0
77230210	Cassava_Pasteles_Puerto_Rican_style	Yes	No	0	Cassava Pasteles, Puerto Rican style	77230210.0
77272010	Puerto_Rican_pasteles	Yes	No	0	Puerto Rican pasteles	77272010.0
91101010	Sugar_white_granulated_or_lump	Yes	No	0	Sugar, white, granulated or lump	91101010.0
91102010	Sugar_brown	Yes	No	0	Sugar, brown	91102010.0
91106010	Sugar_substitute_and_sugar_blend	Yes	No	0	Sugar substitute and sugar blend	91106010.0
