FoodCode	Main.food.description	2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode
11720417	Infant formula, powder, made with tap water (Similac Isomil Soy)	Yes	No	0
11720418	Infant formula, powder, made with plain bottled water (Similac Isomil Soy)	Yes	No	0
11720419	Infant formula, powder, made with baby water (Similac Isomil Soy)	Yes	No	0
11720430	Infant formula, NS as to form (Similac Expert Care for Diarrhea)	Yes	No	0
11720431	Infant formula, ready-to-feed (Similac Expert Care for Diarrhea)	Yes	No	0
11720610	Infant formula, NS as to form (Gerber Good Start Soy)	Yes	No	0
11720611	Infant formula, ready-to-feed (Gerber Good Start Soy)	Yes	No	0
11720612	Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Soy)	Yes	No	0
11720613	Infant formula, powder, made with water, NFS (Gerber Good Start Soy)	Yes	No	0
11720614	Infant formula, liquid concentrate, made with tap water (Gerber Good Start Soy)	Yes	No	0
11720615	Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Soy)	Yes	No	0
11720616	Infant formula, liquid concentrate, made with baby water (Gerber Good Start Soy)	Yes	No	0
11720617	Infant formula, powder, made with tap water (Gerber Good Start Soy)	Yes	No	0
11720618	Infant formula, powder, made with plain bottled water (Gerber Good Start Soy)	Yes	No	0
11720619	Infant formula, powder, made with baby water (Gerber Good Start Soy)	Yes	No	0
11720620	Infant formula, NS as to form (Gerber Graduates Soy)	Yes	No	0
11720800	Infant formula, NS as to form (Store Brand Soy)	Yes	No	0
11720801	Infant formula, ready-to-feed (Store brand Soy)	Yes	No	0
11720802	Infant formula, liquid concentrate, made with water, NFS (Store Brand Soy)	Yes	No	0
11720803	Infant formula, powder, made with water, NFS (Store Brand Soy)	Yes	No	0
11720807	Infant formula, powder, made with tap water (Store Brand Soy)	Yes	No	0
11720808	Infant formula, powder, made with plain bottled water (Store Brand Soy)	Yes	No	0
11720809	Infant formula, powder, made with baby water (Store Brand Soy)	Yes	No	0
11740310	Infant formula, NS as to form (Enfamil Nutramigen)	Yes	No	0
11740311	Infant formula, ready-to-feed (Enfamil Nutramigen)	Yes	No	0
11740312	Infant formula, liquid concentrate, made with water, NFS (Enfamil Nutramigen)	Yes	No	0
11740313	Infant formula, powder, made with water, NFS (Enfamil Nutramigen)	Yes	No	0
11740320	Infant formula, NS as to form (PurAmino)	Yes	No	0
11740323	Infant formula, powder, made with water, NFS (PurAmino)	Yes	No	0
11740400	Infant formula, NS as to form (Enfamil Pregestimil)	Yes	No	0
11740401	Infant formula, ready-to-feed (Enfamil Pregestimil)	Yes	No	0
11740403	Infant formula, powder, made with water, NFS (Enfamil Pregestimil)	Yes	No	0
11740511	Infant formula, ready-to-feed, low iron (Enfamil Premature 20 Cal)	Yes	No	0
11740521	Infant formula, ready-to-feed, with iron (Enfamil Premature 20 Cal)	Yes	No	0
11810000	Milk, dry, not reconstituted, NS as to fat content	Yes	No	0
11811000	Milk, dry, not reconstituted, whole	Yes	No	0
11812000	Milk, dry, not reconstituted, low fat (1%)	Yes	No	0
11813000	Milk, dry, not reconstituted, fat free (skim)	Yes	No	0
11825000	Whey, sweet, dry	Yes	No	0
11830150	Cocoa powder, not reconstituted	Yes	No	0
11830160	Chocolate beverage powder, dry mix, not reconstituted	Yes	No	0
11830165	Chocolate beverage powder, light, dry mix, not reconstituted	Yes	No	0
11830260	Milk, malted, dry mix, not reconstituted	Yes	No	0
11830400	Strawberry beverage powder, dry mix, not reconstituted	Yes	No	0
12100100	Cream, NS as to light, heavy, or half and half	Yes	No	0
12110100	Cream, light	Yes	No	0
12120100	Cream, half and half	Yes	No	0
12120106	Cream, half and half, flavored	Yes	No	0
12120110	Cream, half and half, fat free	Yes	No	0
12130100	Cream, heavy	Yes	No	0
12140000	Cream, whipped	Yes	No	0
12200100	Coffee creamer, NFS	Yes	No	0
12210200	Coffee creamer, liquid	Yes	No	0
12210210	Coffee creamer, liquid, flavored	Yes	No	0
12210260	Coffee creamer, liquid, fat free	Yes	No	0
